,sigma,Rlasso avg,Rlasso f1,Rlasso rmse,Rlasso post avg,Rlasso post f1,Rlasso post rmse,Sqrt-rlasso avg,Sqrt-rlasso f1,Sqrt-rlasso rmse,Sqrt-rlasso post avg,Sqrt-rlasso post f1,Sqrt-rlasso post rmse,Rlasso xdep avg,Rlasso xdep f1,Rlasso xdep rmse,Rlasso post xdep avg,Rlasso post xdep f1,Rlasso post xdep rmse,Sqrt-rlasso xdep avg,Sqrt-rlasso xdep f1,Sqrt-rlasso xdep rmse,Sqrt-rlasso post xdep avg,Sqrt-rlasso post xdep f1,Sqrt-rlasso post xdep rmse,CV avg,CV f1,CV rmse,AIC avg,AIC f1,AIC rmse,BIC avg,BIC f1,BIC rmse
0,0.1,2.440917912042443,0.9912960372960374,0.11813296640494408,1.0760711252654578,0.9912960372960374,0.09660259894357356,3.3005822739578212,1.0,0.13624981953887247,1.0000000000000004,1.0,0.09711393732300426,2.4340184214826643,0.9907505827505828,0.11800053908359397,1.0793559655614822,0.9907505827505828,0.09657288466240244,5.703231732911368,0.9993333333333333,0.19638329625607742,1.30894908098387,0.9991111111111111,0.10312432226015225,1.9462851393060623,0.4644303303684162,0.08691104268491034,1.9428104673363276,0.4560135160266083,0.08481523049937871,1.9246841369979455,0.8411069530744453,0.10387984116406139
1,0.47777777777777775,2.4722450953792765,0.9901911421911421,0.5631252690015993,1.0938222147345,0.9901911421911421,0.4608315646747126,3.3390586668707836,0.9996363636363637,0.6482580634414865,1.0060235876674781,0.9996363636363637,0.4636658540099062,2.4647880407686733,0.9894638694638694,0.562459878206612,1.10630652946729,0.9892820512820513,0.4605514801814218,5.483963287817164,0.9977777777777778,0.893381737780327,1.204788624815543,0.9977777777777779,0.47266995616399526,1.9432907449715748,0.48315406146428563,0.42490789529487777,1.9750439909481001,0.47002476619793887,0.4092525966345394,1.9547537837281697,0.8329430120663799,0.49417166727904926
2,0.8555555555555555,2.503152465895624,0.9915384615384616,1.008687910642756,1.076094706995748,0.9915384615384616,0.826259917822847,3.3814921744750674,0.9998181818181817,1.1588639185253615,1.0029993423370407,0.9998181818181817,0.830383314890935,2.496443880447044,0.9907132867132868,1.0074535891094998,1.0848729551494254,0.9899783549783552,0.825625001333436,5.370189987543204,0.9836666666666667,1.559387997045194,1.6556408447649915,0.9833650793650793,0.8701940253417798,2.0103285908759605,0.4682185268788496,0.7408659014862836,1.9787524291993113,0.46965668366937635,0.7315060779207724,1.9647349362701776,0.8239267350857067,0.8831335076123131
3,1.2333333333333334,2.553327620497873,0.9916969696969697,1.4529887638006889,1.0721927993464437,0.9916969696969697,1.188835457810419,3.443748044987312,0.992909090909091,1.6724024354294613,1.1374261713597948,0.992909090909091,1.2016902688563869,2.5465391389348557,0.990969696969697,1.4512731386180202,1.0772848323884125,0.9907878787878788,1.1883666147205296,5.105189571302466,0.9182587301587303,2.1779394232316434,2.8176350696152324,0.9191793650793652,1.3361968709517726,2.0091274445352,0.47278509101249777,1.0847071926355216,1.994990232946661,0.47849444712810557,1.0598750453815955,1.998169167723988,0.8445395634338291,1.2775383112773033
4,1.6111111111111112,2.505383397862441,0.9892356421356422,1.9059093196480743,1.0792157549814303,0.9892356421356422,1.5623262546248602,3.3243426490980323,0.9702070707070708,2.178298808190067,1.4347091849428497,0.9702070707070708,1.5976398174322262,2.4984613833974683,0.9890942279942281,1.903841376887918,1.0796557427230946,0.9890942279942281,1.5618126523585147,4.546100572396187,0.8252460317460318,2.7010428944593508,3.3705720608706318,0.8278888888888889,1.8062134209540675,1.992376011602235,0.4767610387308997,1.4199130990791695,1.9957238018098173,0.46296394155083026,1.3726684822084605,1.9595511011284612,0.8307617181968507,1.6692625777957257
5,1.988888888888889,2.4292485617268635,0.9714656565656566,2.363825905640063,1.2453980418074262,0.9714656565656566,1.9495733776630544,3.0776973971169417,0.9104102453102454,2.658027933036182,1.9212053566795368,0.9104102453102454,2.018592830461371,2.4229352607353594,0.970910101010101,2.361160758686944,1.257706569488693,0.9705293706293706,1.949026290997304,3.8995884585670866,0.7265238095238096,3.1577291735334345,3.436822817539977,0.7258412698412698,2.260340002636726,1.9716833110792258,0.4799946269328414,1.7657622240479391,1.9683863144470013,0.4667477859619346,1.705000156404662,1.9260417457183685,0.8218968113757588,2.071991354477278
6,2.3666666666666667,2.4806804940034506,0.9378723720723722,2.8021405352168314,1.4580930117255018,0.9378723720723722,2.325694814110877,3.0501847657394365,0.8406634920634922,3.1127314880626926,2.322217184769517,0.8406634920634922,2.429190510741093,2.4744653446448863,0.9380046953046953,2.798957474754883,1.4568961276340802,0.9378127761127761,2.3251162129968206,3.6883731399008473,0.5909047619047619,3.586634166616843,3.6297569936907577,0.593547619047619,2.7358966770607336,2.0024236148378303,0.48236763739744326,2.108011924875653,2.006858566629045,0.46192081726389983,2.035036064044947,1.9822033188683268,0.8218177689916013,2.4723473014755943
7,2.7444444444444445,2.286874843453239,0.8874106782106783,3.2345862115448827,1.666442652375949,0.8874106782106783,2.7114513977920915,2.7151208862587253,0.7627111111111112,3.5383082825390937,2.3494989501636683,0.7627111111111112,2.842551508166198,2.281642194316406,0.8864288600288601,3.231002584426239,1.677317317877645,0.8870041847041849,2.7104949503499585,3.196708255789287,0.4667777777777778,3.978066859843106,3.363001845380232,0.46755555555555556,3.215734895989928,1.9026281783811554,0.4826317840883329,2.4670694411441287,1.913059226632368,0.44642664191225356,2.348410373987086,1.8741248066140896,0.7969282302836482,2.875051887061731
8,3.1222222222222222,2.2552944918050986,0.827276479076479,3.672849103196583,1.8461960290811452,0.827276479076479,3.1131680355301987,2.5966177025839796,0.6774285714285715,3.9650570644200496,2.475750719680665,0.6774285714285715,3.260263321705678,2.2501344080202736,0.8271581529581531,3.6691102179163435,1.8439281869213369,0.8286422799422801,3.111787089796071,2.967414610302794,0.33663492063492073,4.357501579692158,3.2762124662402696,0.3400476190476191,3.715738140157541,1.8941204302993475,0.4799643987269814,2.83853367544681,1.920982641363109,0.4396879008895562,2.6895587589005756,1.8544682507224877,0.7790944796002072,3.279729817621256
9,3.5,2.1147615418368995,0.7576987012987014,4.089509797673887,1.937174034373088,0.7576987012987014,3.499857496386685,2.389283621821986,0.5927539682539682,4.364951859778471,2.4331823828545613,0.5927539682539682,3.6817701813995685,2.111035817347489,0.7587295815295816,4.085752846252663,1.9395105536355348,0.756786002886003,3.5005747589601923,2.682587748674429,0.23687301587301593,4.709249902907435,2.9756375373015573,0.23732539682539688,4.209538929990364,1.8398496809418694,0.4893001138347084,3.222067103416867,1.8413761394083061,0.4484008087654397,3.075356520006901,1.7794291565852431,0.7290337532780257,3.6632170366698147
